ip,timestamp,url,protocol,status,bytes,referrer,user_agent,hour,day_of_week,minute,url_path_depth,protocol_HTTP/1.0,protocol_HTTP/1.1,status_type,status_client_error,status_server_error,status_success,method_GET,method_HEAD,method_OPTIONS,method_POST,has_referrer,is_bot,browser_chrome,browser_firefox,browser_other,browser_safari,browser_wordpress
162.158.154.86,2024-10-20 01:03:12,/wp-includes/certificates/plugins.php,HTTP/1.1,404,490,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:12,/wp-admin/user/plugins.php,HTTP/1.1,404,490,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-20 01:03:12,/.well-known/acme-challenge/plugins.php,HTTP/1.1,404,490,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-20 01:03:12,/wp-includes/customize/plugins.php,HTTP/1.1,404,490,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:12,/wp-includes/SimplePie/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-20 01:03:12,/wp-admin/css/colors/blue/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,5,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-20 01:03:12,/wp-content/themes/plugins.php,HTTP/1.1,404,490,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:12,/wp-includes/ID3/plugins.php,HTTP/1.1,404,490,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:13,/wp-admin/css/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-20 01:03:13,/wp-admin/includes/plugins.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:13,/wp-admin/network/plugins.php,HTTP/1.1,302,457,-,-,1,6,3,3,False,True,server_error,False,True,False,True,False,False,False,0,0,False,False,True,False,False
